Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Parameter Value[Detector]	Parameter Value[Temperature]	Unit	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
CHCs_Nm1	Extraction			CHCs_Nm1	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Nm1	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Nm1.xy	Metabolite identification	CHCs_Nm1	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Nm2	Extraction			CHCs_Nm2	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Nm2	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Nm2.xy	Metabolite identification	CHCs_Nm2	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Nm3	Extraction			CHCs_Nm3	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Nm3	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Nm3.xy	Metabolite identification	CHCs_Nm3	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Nm4	Extraction			CHCs_Nm4	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Nm4	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Nm4.xy	Metabolite identification	CHCs_Nm4	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Nm5	Extraction			CHCs_Nm5	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Nm5	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Nm5.xy	Metabolite identification	CHCs_Nm5	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Nm6	Extraction			CHCs_Nm6	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Nm6	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Nm6.xy	Metabolite identification	CHCs_Nm6	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Nf1	Extraction			CHCs_Nf1	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Nf1	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Nf1.xy	Metabolite identification	CHCs_Nf1	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Nf2	Extraction			CHCs_Nf2	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Nf2	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Nf2.xy	Metabolite identification	CHCs_Nf2	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Nf3	Extraction			CHCs_Nf3	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Nf3	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Nf3.xy	Metabolite identification	CHCs_Nf3	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Nf4	Extraction			CHCs_Nf4	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Nf4	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Nf4.xy	Metabolite identification	CHCs_Nf4	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
