Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Parameter Value[Detector]	Parameter Value[Temperature]	Unit	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
Glands_24h_Nf1	Extraction			Glands_24h_Nf1	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nf1	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nf1.xy	Metabolite identification	Glands_24h_Nf1	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Nf2	Extraction			Glands_24h_Nf2	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nf2	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nf2.xy	Metabolite identification	Glands_24h_Nf2	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Nf3	Extraction			Glands_24h_Nf3	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nf3	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nf3.xy	Metabolite identification	Glands_24h_Nf3	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Nf4	Extraction			Glands_24h_Nf4	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nf4	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nf4.xy	Metabolite identification	Glands_24h_Nf4	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Nf5	Extraction			Glands_24h_Nf5	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nf5	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nf5.xy	Metabolite identification	Glands_24h_Nf5	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Nf6	Extraction			Glands_24h_Nf6	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nf6	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nf6.xy	Metabolite identification	Glands_24h_Nf6	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Nf7	Extraction			Glands_24h_Nf7	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nf7	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nf7.xy	Metabolite identification	Glands_24h_Nf7	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Nf8	Extraction			Glands_24h_Nf8	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nf8	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nf8.xy	Metabolite identification	Glands_24h_Nf8	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Nm1	Extraction			Glands_24h_Nm1	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nm1	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nm1.xy	Metabolite identification	Glands_24h_Nm1	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Nm2	Extraction			Glands_24h_Nm2	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nm2	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nm2.xy	Metabolite identification	Glands_24h_Nm2	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
