database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	Glands_24h_Nf1	Glands_24h_Nf2	Glands_24h_Nf3	Glands_24h_Nf4	Glands_24h_Nf5	Glands_24h_Nf6	Glands_24h_Nf7	Glands_24h_Nf8	Glands_24h_Nm1	Glands_24h_Nm2	Glands_24h_Nm3	Glands_24h_Nm4	Glands_24h_Nm5	Glands_24h_Nm6	Glands_24h_Nm7	Glands_24h_Nm8	Glands_24h_Pf1	Glands_24h_Pf2	Glands_24h_Pf3	Glands_24h_Pf4	Glands_24h_Pf5	Glands_24h_Pf6	Glands_24h_Pf8	Glands_24h_Pm1	Glands_24h_Pm2	Glands_24h_Pm3	Glands_24h_Pm4	Glands_24h_Pm5	Glands_24h_Pm6	Glands_24h_Pm8	Glands_24h_Wf1	Glands_24h_Wf2	Glands_24h_Wf3	Glands_24h_Wf4	Glands_24h_Wf5	Glands_24h_Wf6	Glands_24h_Wf7	Glands_24h_Wf8	Glands_24h_Wm1	Glands_24h_Wm2	Glands_24h_Wm3	Glands_24h_Wm4	Glands_24h_Wm5	Glands_24h_Wm6	Glands_24h_Wm7	Glands_24h_Wm8	Glands_72h_Nf1	Glands_72h_Nf2	Glands_72h_Nf3	Glands_72h_Nf4	Glands_72h_Nf5	Glands_72h_Nf6	Glands_72h_Nf7	Glands_72h_Nf8	Glands_72h_Nm1	Glands_72h_Nm2	Glands_72h_Nm3	Glands_72h_Nm4	Glands_72h_Nm5	Glands_72h_Nm6	Glands_72h_Nm7	Glands_72h_Nm8	Glands_72h_Pf1	Glands_72h_Pf2	Glands_72h_Pf3	Glands_72h_Pf4	Glands_72h_Pf5	Glands_72h_Pf6	Glands_72h_Pf7	Glands_72h_Pf8	Glands_72h_Pm2	Glands_72h_Pm3	Glands_72h_Pm4	Glands_72h_Pm5	Glands_72h_Pm6	Glands_72h_Pm7	Glands_72h_Pm8	Glands_72h_Wf1	Glands_72h_Wf2	Glands_72h_Wf3	Glands_72h_Wf5	Glands_72h_Wf6	Glands_72h_Wf7	Glands_72h_Wf8	Glands_72h_Wm1	Glands_72h_Wm2	Glands_72h_Wm3	Glands_72h_Wm4	Glands_72h_Wm5	Glands_72h_Wm6	Glands_72h_Wm7	Glands_72h_Wm8
				RI929																	0	0.287518213	0	0	0.78066592	0	0.236016962	0	0.610587239	0	0.128455652	0	0	0.44410662	0	0	0.177300773	0	0.736928578	0.290282883	0	0.52896395	0.55481713	0.331655772	0	0.771694255	0	0	0	0	1.268228265	0.56169845	1.514752371	0.309807259	1.020421179	0.369875591	0.708872028	0.548800722	0.354396709	0.627990661	0.325716079	0.200454631	0	0	0	0	0.47508961	0	0	0	0.708701909	0.912642957	0.378059922	0.487919981	0.236525568	0	0.284054776	0.233220939	0	0	0.488675728	0	0.525608327	0.307999359	0.395439267	0.657270138	0.761617882	0.39337637	0.754990742	0	0.252460455	0	0.534460359	0.493289123	0.390616428	0.453412834	0	0	0.333552922	0.358081202	0.145363751	0.74894781	0.480179044	0.587006227	0	0.213581911	0	0	0	0	0.419647659	0.737081726
				RI1015																	0.588487053	0.610004857	0.230722326	0.287605405	0.570010037	0.479244362	0.568762188	0.307261483	0.537488766	0.3955329	0.330870618	0	0.581707166	0.230593822	0.400110546	0.224546373	0.287621254	0.122666462	0.281885249	0.265751935	0.318379161	0.287756389	0.666578854	0.258382985	0.349514858	0.3626963	0.281614262	0.60358096	0.594660445	0.397014787	0.237541167	0.467427382	0.419849842	0.404814818	0.361399168	0.469959575	0.692386632	0.348850071	0.370324651	0.339037903	0.405159025	0.308700132	0.424413645	0.344368721	0.604268449	0.356358021	0.691425057	0.725283115	0.350923548	0.472536709	0.453742076	0.382984098	0.381998047	0.383937034	0.404243699	0.535571941	0.68681901	0.335996268	0.688315839	0.509701172	0.327097463	0.403211319	0.249879369	0.439412419	0.362485995	0.425292442	0.663206582	0.376813155	0.514574696	0.813073905	0.277292631	0.286660852	0.468680623	0.53618383	0.395005376	0.778425574	0.613588498	0.359294093	0.425279976	0.595363927	0.444642063	0.626836754	0.430073405	0.447438313	0.177000101	0.218328176	0.601856792	0.351096979	0.918801465	0.376794704	0.431870406	0.675997606
				Methyl-1,4-benzoquinone																	112.5462383	605.4084507	162.1318743	155.5785462	905.1842	389.6779478	268.1268765	432.032982	765.5645997	409.828589	372.2683711	85.63474564	566.4878914	752.5728292	31.02712914	27.07942896	409.182604	19.70330049	678.6951129	369.7427112	325.7390945	968.1479068	1207.785002	459.4705077	91.09800853	1238.279894	353.4585496	364.0412332	231.9877764	140.7670833	1426.024044	405.1809808	2199.119962	532.3480086	1346.581802	558.4729795	1417.187674	994.6268581	656.2630659	495.245764	828.1371026	472.8203566	180.4401041	126.2897884	491.3173909	427.4005379	488.8629663	102.8884082	286.1306757	148.7715982	856.0125146	1178.596893	286.6954412	693.6102479	248.1411241	343.6379035	549.4170518	205.9854771	163.7454215	132.3116844	636.145452	347.5162582	1199.993968	688.4935546	164.2638239	1176.560802	1168.214862	606.9880207	1347.207167	223.9877028	240.5617038	59.6090765	1037.346445	469.8686135	563.8218965	469.7276714	139.2099634	200.3170242	914.4478448	435.0600325	475.8952697	923.4852124	762.4658655	854.0981655	45.00016857	331.5076035	131.4053996	516.4516863	648.578035	205.2479616	834.3695507	941.4936289
				RI1079																	0.30570756	3.341427878	0.770447766	0.395457432	4.068549903	0.749363912	0.638406537	1.579090662	2.197254077	1.0170846	1.479186292	0.567091258	3.453112752	1.71237264	0	0.427501749	1.595706957	0.291332848	3.77726233	0.801344296	0.946867893	3.313430183	4.446520019	0.84456528	0.45968802	3.345294594	1.048911092	1.039021509	0.891990667	0.612416426	4.191192457	0.950566608	16.15598656	1.202052163	5.093602384	1.73623954	2.501658843	6.032553668	1.310073229	2.488846424	3.543155394	1.318991473	0.411552625	1.101129614	1.379960573	2.239964704	2.014888969	0.979768418	1.34589502	0.871481635	2.251424966	5.850693242	1.80366088	2.455597282	0.868693906	1.079447323	1.66193242	0.703615715	1.089833411	1.074163627	2.293623176	1.648774996	3.851588888	3.749378868	0.757925262	4.596595083	3.020799014	4.314717659	4.770360498	1.039601958	0.860848764	0.352183332	3.790557319	1.998893317	2.966929272	1.336163485	1.533971244	0.596005495	2.91858807	1.566065982	2.099223587	4.261675852	2.555387609	1.91700635	0.514143151	1.30522279	0.345747519	1.679679863	1.018955179	0.885029421	4.681312234	5.432414492
				Ethyl-1,4-benzoquinone																	158.1004861	905.0101991	244.4049836	157.7395813	797.1218624	455.9748702	353.8977621	765.9484267	908.3861147	455.7991984	582.9083917	104.4042766	517.5543546	1115.869125	53.99429946	41.21289587	549.4669157	38.27576954	656.559067	469.9679871	472.722762	975.481463	1552.853317	553.5180579	115.6248338	1235.455493	283.1570183	485.6196836	278.2639219	169.0860635	1721.66617	530.0783628	2616.158456	522.3846071	1664.621573	752.1050273	1520.299704	1141.692689	910.202245	707.0751046	1257.62553	480.5338508	262.8106472	181.3802809	626.7806634	443.4578607	731.7313199	182.0545447	327.4612126	312.6101456	1057.063468	1377.821961	421.9227498	993.9889858	322.1134205	518.9152385	656.1410947	306.2467636	231.4011324	238.6580958	785.6368745	351.4805041	1712.513786	902.9268152	246.3092335	1514.904567	1354.250726	780.7237297	1589.643552	369.3823065	437.1704563	106.4085081	1355.650479	687.7136693	658.013123	692.6382608	160.9467505	220.4290394	977.7144954	724.3033595	784.2673667	950.2356743	928.236198	1171.721899	65.00118	586.7142559	176.4507523	417.1590669	785.4184901	274.0962404	1381.488242	920.4806913
				RI1174																	0	2.385624089	0.679806852	0.459369745	2.151994416	0.605590603	0.66162132	2.430866166	2.992737452	0.968652	1.448045528	0.368807601	1.283056232	1.737994175	0	0.50522934	1.063804638	0	1.514126478	0.605096713	0.81868927	2.818319926	4.139175278	0.840708818	0.330519485	3.156229502	0.371404316	0.534600279	0.557494167	0.646204919	3.897285589	1.35121865	7.57787803	0.549391539	3.541711842	1.77105136	2.415110514	2.101608965	1.150793809	2.300063955	2.47464777	0.914073118	0.312951475	0.697240374	0.754264164	1.688458242	2.210015059	0.445349281	1.325252459	1.069017472	2.044000017	3.780949393	1.657950285	1.751712719	0.653670662	0.942440547	1.687370162	0.588981694	0.753869728	1.103650471	1.91529358	0.934172758	2.929620183	2.427034952	0.700257036	4.510677418	2.781188894	3.395459194	3.732775456	1.071963108	0.881542244	0.356278487	2.491407522	1.977445963	2.128640084	1.552838645	0.816736041	0.384656029	2.159755172	1.673921766	2.424154325	2.291617483	2.45517633	1.407993958	0.910286234	1.077402085	0.418311813	0.897691138	1.336834359	1.025232101	2.909013869	2.858736862
				RI1180																	0.630521843	3.62894609	0.704527102	0	2.156124923	0.910564288	0.742873062	1.687993466	3.895718579	1.880799299	1.471401101	0	1.522340031	2.720153046	0	0	2.036988881	0	1.139621791	1.103892653	1.443043209	2.094697242	1.700374801	1.820250284	0.307725038	2.037272833	0.722401802	1.211473212	0.846565216	0	5.213827312	1.567256516	4.317867492	1.098783077	3.894607499	1.797160226	1.413622707	1.259263671	2.010902676	2.084312562	1.600775363	0.974209507	0.793096205	0.931070987	0.677123511	1.103012922	2.040340198	0.585316198	0.693590072	1.409863623	1.464938702	1.703056946	1.461044075	2.235633356	0.791285538	1.174936894	1.636494679	0.209503556	0.487557052	0.926729403	1.737951582	0.69064909	3.985145102	2.160102174	0.539609833	3.587062518	3.076422792	1.407873325	3.260379014	0.970834513	0.939483987	0	1.706161917	0.982288776	1.136737694	1.360238503	0.708943467	0.604459474	2.163924584	1.363297108	1.192837842	1.335080878	1.67436345	1.063179111	0	1.025193173	0.789670259	0.865773231	1.158299477	0.963893428	1.886377341	1.294983365
				RI1230																	0.275136804	0.322486644	0.387283904	0.371490315	0.210655883	0.196054512	0.371436531	0.361712886	0.399891642	0.4358934	0.323085427	0.277597119	0.297041957	0.42275534	0.383611142	0.237500972	0.330961443	0.32583279	0.362423891	0.359787235	0.264626835	0.220049003	0.315327721	0.462775496	0.391304678	0.285526874	0.326509289	0.344903405	0.243645599	0	0.46300397	0.271029322	0.349874868	0.260238097	0.348643903	0.509122873	0.440984343	0.459461069	0.338468767	0.462324413	0.333660373	0.284645576	0.308664469	0.259339407	0.274277878	0.339388591	0.271479777	0.305382364	0.367437598	0.460916954	0.332744189	0.582624745	0.334740556	0	0.270929287	0.35289624	0.313732141	0	0.356449274	0.518125985	0.461089195	0.706617855	0.439443028	0.307999359	0.420154221	0.352262427	0.312348907	0.409939586	0.426000363	0.323611504	0.314540894	0.384944572	0.300120048	0.197315649	0.228225329	0.361125266	0.286064908	0.245165381	0.312705865	0.41416621	0.401888019	0.337840588	0.254703667	0.320185215	0	0.246805764	0.32440508	0.231404827	0.470287006	0.280405361	0.395202164	0.443877946
				RI1257																	0	2.564351627	0.40376407	0.367495796	3.820719452	0.919277822	3.714365308	0.626191124	4.192412379	1.049373	0.712344977	0	2.116423945	2.182100795	0	0	1.84392804	0	6.451145259	3.503837049	0.727723796	1.870416527	2.722196278	2.59539924	0	7.223058224	0.338753388	0.612203545	1.007619087	0	11.57107312	2.678869533	16.60876581	3.155903274	10.20421179	1.849377956	6.421061742	6.483506198	1.409622866	1.140400219	2.280012552	0.585327523	0.527301801	1.266936776	0.788548899	0.538779389	3.949182379	0.470797811	0.577991726	0.871481635	4.247890099	7.814505319	3.733341735	4.695229982	2.279246387	0.676730437	1.920549455	1.225398156	0.315478093	1.554377954	3.79511876	1.828423603	3.769731854	3.084100252	1.639425295	2.977047096	4.796481154	1.879924969	3.184458157	0.695764734	2.214202349	0	3.461658636	2.243393143	1.913581602	1.308075965	0.576275684	0	3.927585661	3.934578996	1.594725861	3.854638999	3.344551429	3.620555891	0.509928863	1.086894614	0.725642941	1.895125737	0.522541117	0.381176038	2.248985512	7.672165595
				RI1287																	0	0.322486644	0	0	0.578271052	0	0.402389575	0.490062619	0.417091283	0	0.463218865	0	0.276414043	0.550863019	0.358862036	0	0.204880893	0	0.463097194	0.318902322	0.301839983	0.304683235	0.670570344	0.196679586	0	0.474591967	0.257126065	0.426817964	0.342755673	0	0.458977848	0.608833985	0.909674658	0.367637947	0.616504462	0.413390367	0.568746162	0.60836049	0.489784216	0.416091972	0.520351297	0.445009281	0.257220391	0.18706449	0.475700694	0.462416956	0.432670894	0.326589473	0.499549992	0.460916954	0.393243132	0.725225207	0.571028008	0.703884563	0.399943234	0.373654843	0.618985034	0.585028797	0.331866565	0.408603419	0.677840526	0.491039527	0.650548011	0.685811907	0.395439267	0.824809585	0.457826479	0.596275761	0.708594663	0.436875531	0.351789158	0.315326937	0.727688336	0.553341712	0.570563322	0.505575373	0	0.304343232	0.425279976	0.483193912	0.521599343	0.663470071	0.630495962	0.599321043	0	0.427163822	0	0.375035409	0.487705043	0.381176038	0.778181581	0.659708507
