Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Sex]	Term Source REF	Term Accession Number	Factor Value[Immune treatment]	Term Source REF	Term Accession Number	Factor Value[Collection timepoint]	Unit	Term Source REF	Term Accession Number
CHCs_Blank	blank			blank						experimental blank	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000218	Sample collection	CHCs_Blank								hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Nf1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Nf1	female			naive			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Nf2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Nf2	female			naive			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Nf3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Nf3	female			naive			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Nf4	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Nf4	female			naive			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Nf5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Nf5	female			naive			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Nf6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Nf6	female			naive			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Nm1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Nm1	male			naive			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Nm2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Nm2	male			naive			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Nm3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Nm3	male			naive			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Nm4	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Nm4	male			naive			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Nm5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Nm5	male			naive			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Nm6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Nm6	male			naive			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Pf1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Pf1	female			primed			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Pf4	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Pf4	female			primed			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Pf3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Pf3	female			primed			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Pf2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Pf2	female			primed			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Pf5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Pf5	female			primed			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Pf6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Pf6	female			primed			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Pm1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Pm1	male			primed			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Pm2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Pm2	male			primed			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Pm3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Pm3	male			primed			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Pm4	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Pm4	male			primed			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Pm5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Pm5	male			primed			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Pm6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Pm6	male			primed			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Wf1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Wf1	female			wounded			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Wf2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Wf2	female			wounded			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
